Nome,Nota,Total de Avaliações,Total de Comentários,Desenvolvedor,Versão Atual,Lançamento,Data Ultima Atualização,Hospedagem,Downloads Totais,Comentários
Atrio Active,2.7076924,65,50,Multilaser Mobile,1.1.1,11 de ago. de 2015,"August 11, 2015",Brasil,10.000+,"[{'Comentario': 'No meu relógio só funcionou o app de nome sw atrio', 'Nota': 5, 'Data': datetime.datetime(2021, 5, 17, 21, 6, 46)}, {'Comentario': 'Rapaz vcs deveriam esta preso com tantas mentiras nada funciona direito', 'Nota': 1, 'Data': datetime.datetime(2020, 7, 10, 12, 28, 50)}, {'Comentario': 'Lixo', 'Nota': 1, 'Data': datetime.datetime(2020, 6, 1, 13, 1, 25)}, {'Comentario': 'Horrível', 'Nota': 1, 'Data': datetime.datetime(2020, 2, 29, 23, 41, 17)}, {'Comentario': 'Legal', 'Nota': 5, 'Data': datetime.datetime(2020, 2, 1, 23, 53, 49)}, {'Comentario': 'Não tive problemas em sincronizar meu ES103, pode ser algo dificil se tentar parear diretamente pelo bluetooth, mas se seguir os passos descritos no manual funciona perfeitamente.', 'Nota': 4, 'Data': datetime.datetime(2020, 1, 20, 11, 46, 37)}, {'Comentario': 'Vale nada...não parea', 'Nota': 1, 'Data': datetime.datetime(2019, 12, 22, 12, 22, 13)}, {'Comentario': 'Pior compra dó ano, péssimo vou ver se consigo devolver o lojista, nada funciona nada, não consigo acertar horário ,o monitoramento cardíaco é instável ,os dados não é confiável neste ponto sistema complicado, não compre o átrio, vou comprar o mi Band 4', 'Nota': 1, 'Data': datetime.datetime(2019, 9, 14, 23, 49, 19)}, {'Comentario': 'instalei o App e não estou conseguindo parear meu atrio com meu smartphone asus, conforme pede a multilaser o meu localizador esta ligado e mesmo assim não estou conseguindo fazer o pareamento, por favor se alguém puder me ajudar eu agradeço', 'Nota': 1, 'Data': datetime.datetime(2019, 3, 12, 9, 19, 30)}, {'Comentario': 'no meu motoz play, tava tudo funcionando até a última atualização, agora, estou com problema, resolva por favor, não me decepcione, já tentei de tudo...', 'Nota': 1, 'Data': datetime.datetime(2019, 3, 1, 23, 21, 56)}]"
Atrio Active Plus +,2.0754716,53,34,Multilaser Mobile,1.0.4,15 de dez. de 2016,"December 15, 2016",Brasil,5.000+,"[{'Comentario': 'No meu atrio só funcionou o app de nome sw atrio', 'Nota': 5, 'Data': datetime.datetime(2021, 5, 17, 21, 5, 45)}, {'Comentario': 'Pior que não consigo conectar e nem ajustar a hora. Poderia pelo menos vir com a hora certa para servir para ver a hora.', 'Nota': 1, 'Data': datetime.datetime(2020, 12, 5, 11, 44, 51)}, {'Comentario': 'Se eu tivesse lido os comentários aqui antes de comprar, não teria gasto 200 reais atoa. Pulseira não funciona, não atualiza a hora, não conecta em nenhum app, e a loja tá pouco se fudendo... Realmente é aquela, o barato (nem tão barato assim) que sai caro.', 'Nota': 1, 'Data': datetime.datetime(2020, 11, 8, 21, 47, 22)}, {'Comentario': 'Até agora nada....Bluetooth travou!!! Cadê o botão reset? Minha pulseira foi devolvida. Responder quase 3 anos depois é um erro de canal de comunicação.', 'Nota': 1, 'Data': datetime.datetime(2020, 11, 1, 20, 55, 16)}, {'Comentario': 'A onde eu poder denuciar eu vou fazer porq vcs estão enganando as pessoas', 'Nota': 1, 'Data': datetime.datetime(2020, 7, 10, 12, 38, 22)}, {'Comentario': 'Razoável', 'Nota': 2, 'Data': datetime.datetime(2020, 6, 14, 11, 12, 5)}, {'Comentario': 'Eu gostei do relógio não foi difícil parear,agora vamos ver se vai funcionar ben', 'Nota': 5, 'Data': datetime.datetime(2020, 1, 25, 9, 11, 8)}, {'Comentario': 'Relógio não vale nada, impossível parear, já tentei em diversos celulares, já usei todos aplicativos disponíveis e não funciona...duvido a loja aceitar de volta, vou amargar 200 reais de prejuízo...lamentável...', 'Nota': 1, 'Data': datetime.datetime(2019, 12, 22, 12, 14, 20)}, {'Comentario': 'Pior compra dó ano, péssimo vou ver se consigo devolver o lojista, nada funciona nada, não consigo acertar horário data,o monitoramento cardíaco é instável salta muito os dados não é confiável sistema complicado, não compre o átrio, vou comprar o mi Band 4', 'Nota': 1, 'Data': datetime.datetime(2019, 9, 14, 23, 51, 12)}, {'Comentario': 'muito ruim!!', 'Nota': 1, 'Data': datetime.datetime(2019, 8, 17, 13, 39, 58)}]"
Atrio Fitness,2.11,155,112,Multilaser Mobile,1.0.1,31 de jul. de 2015,"July 31, 2015",Brasil,10.000+,"[{'Comentario': 'Não consigo usar o aplicativo. Meu celular s10 plus não encontra o cinta cardíaca... já reinstalei, reiniciei o celular. Só nesse aplicativo, porque no strava reconhece certinho. Aparece para procurar atualizações mais recente, já tentei essa opção, tem a outra também que tentei dando ok, mas sem sucesso igual...', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 20, 9, 35, 58)}, {'Comentario': 'Celular Samsung note 20 - Aplicativo não encontra os sensores. Já reinstalei e etc e nada. Prefisam verificar isso.', 'Nota': 1, 'Data': datetime.datetime(2021, 8, 18, 11, 0, 24)}, {'Comentario': 'O app Atrio Fitness é muito bom, espero que atualizem para que possa ser utilizado em celulares mais modernos. Para o aplicativo se conectar ao celular Moto E5 play, tive que conectar o monitor com a cinta, umedecer a área dos sensores e colocar no corpo. Baixei os app: Atrio Fitness, Wahoo Fitness e Strava, todos se conectaram com o monitor. Farei teste e verificarei qual se adequa mais aos treinos e não trava antes do mesmo terminar.', 'Nota': 3, 'Data': datetime.datetime(2021, 6, 30, 19, 19, 44)}, {'Comentario': 'Cinta não está pareando com o celular. O celular fica procurando e não a encontra.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 17, 11, 26, 45)}, {'Comentario': 'O app não foi atualizado pra acompanhar as novas versões do Android, assim não funciona corretamente, no meu celular antigo conecta, no novo fica só procurando e não passa disso!', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 4, 22, 36, 48)}, {'Comentario': 'Não funciona no Android 11. Decepção, desinstalei e devolvi o equipamento cinta cardíaca da mesma marca.', 'Nota': 1, 'Data': datetime.datetime(2021, 4, 27, 8, 6, 44)}, {'Comentario': 'Boa', 'Nota': 5, 'Data': datetime.datetime(2021, 2, 12, 14, 29, 29)}, {'Comentario': 'Muito pobre de informações e é muito difícil a transferência de dados', 'Nota': 1, 'Data': datetime.datetime(2021, 1, 27, 20, 30, 5)}, {'Comentario': 'O app não reconhece minha cinta, aparece uma mensagem dizendo que o app foi criado para uma versão mais antiga do Android. Não encontrei atualização, vc consegue me ajudar?', 'Nota': 1, 'Data': datetime.datetime(2021, 1, 15, 10, 49, 30)}, {'Comentario': 'Não funciona nos androids mais novos. Minha cinta irá para o lixo, assim como esse app.', 'Nota': 1, 'Data': datetime.datetime(2020, 12, 17, 17, 54, 10)}]"
Atrio Smart,1.98,366,261,Multilaser Mobile,1.0.8,10 de jan. de 2018,"September 27, 2019",Brasil,10.000+,"[{'Comentario': 'Estava indo bem até desconectar agora não parea mais ,átrio smart aplicativo péssimo ruim demais ,Multilaser seus produtos não serve ,primeiro produto da Multilaser e o último aplicativo smart quem desenvolveu não entende nada de programa ,nota 0 perdi meu dinheiro .', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 17, 23, 13, 20)}, {'Comentario': 'Não sincroniza pede aniversário do usuário no qual já foi configurado ....', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 25, 15, 42, 48)}, {'Comentario': 'a localização precisa estar ligada para parear', 'Nota': 4, 'Data': datetime.datetime(2021, 9, 20, 8, 58, 20)}, {'Comentario': 'Só marca data e hora e parou de contar os passos. Comrpei há 2 meses. Não sai do zero e eu não sei o que fazer. HELP!!', 'Nota': 1, 'Data': datetime.datetime(2021, 8, 14, 12, 56, 57)}, {'Comentario': 'N pareia com o telefone e é difícil de sincronizar', 'Nota': 1, 'Data': datetime.datetime(2021, 8, 6, 16, 23, 28)}, {'Comentario': 'Demorou um pouco mais consegui parear com o relógio , e ficou sincronizado sem problemas', 'Nota': 5, 'Data': datetime.datetime(2021, 7, 30, 6, 16, 23)}, {'Comentario': 'Não sincroniza, perdia sinal com facilidade, agora nem isso. Deixei de comprar um mini band bem baratinho e trm funcionalidade e sincronização infinitamente superior, e esse Atrio nem pra colocar a hora funciona.', 'Nota': 1, 'Data': datetime.datetime(2021, 7, 6, 15, 47, 14)}, {'Comentario': 'Exelente conssigo sinceonisar com meu relovio normalmente🤩', 'Nota': 5, 'Data': datetime.datetime(2021, 7, 3, 9, 17, 10)}, {'Comentario': 'Péssimo, não se tem controle de praticamente nada, app sem informações e perde pareamento constante. mi Band baratinha da de milhões a 0 nessa.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 10, 9, 42, 3)}, {'Comentario': 'Bom dia Mais uma vez não funciona nada toda hora manda colocar a data de nascimento,pensei que vcs ja tiam resolvido esse problema mais pelo visto vcs não tem interesse de ajustar', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 8, 11, 10, 57)}]"
CareMeTens,1.4571428,35,32,Jumper-Medical,2.0.7,16 de out. de 2017,"December 18, 2020",China,1.000+,"[{'Comentario': 'O app nao funciona.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 9, 22, 54, 38)}, {'Comentario': 'Nossa estou chateada com esse aplicativo , não consigo nem fazer o cadastro . Muito ruim!', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 8, 21, 28, 4)}, {'Comentario': '21/09/2021 O app perde a conexão com o aparelho e não desliga mais, vou pedir a troca. PS: a partir do dia 25/09/2021 o app está funcionando bem, não ocorreu mais falhas.', 'Nota': 4, 'Data': datetime.datetime(2021, 9, 29, 0, 20, 57)}, {'Comentario': 'O aplicativo não conecta com o aparelho', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 26, 12, 0, 41)}, {'Comentario': 'Conectou super rápido no celular. Dá para ajustar o timer. Excelente!', 'Nota': 5, 'Data': datetime.datetime(2021, 9, 22, 22, 14, 32)}, {'Comentario': 'Aplicativo precisa ser revisto, N consigo nem me registrar que ele fecha', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 21, 22, 15, 36)}, {'Comentario': 'Esse APP não funciona de jeito nenhum, não conecta via Bluetooth nem a cassetada. Mas consegui usar o aparelho sem aplicativo, programando direto no aparelho. Porque esse aplicativo não presta,aparelho é bom.', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 16, 21, 14, 50)}, {'Comentario': 'Não conecta de jeito nenhum ao BT', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 16, 14, 20, 34)}, {'Comentario': 'O app não acha o dispositivo! Incrível, um app que SÓ TEM reclamação, todos falando a mesma coisa e nenhuma providência é tomada? Não consegui nem testar meu aparelho!!', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 15, 21, 55, 56)}, {'Comentario': 'Compramos um recentemente e tbm não conecta via bluetooth, pessimo até encontramos o dispositivo mas não abre o controle.', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 14, 21, 49, 49)}]"
EvolveBT,0,None,0,Multilaser Mobile,4.41,21 de mai. de 2021,"May 21, 2021",Brasil,10+,"[{'Comentario': 'Muito ruim', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 10, 23, 12, 53)}]"
Controle Evolve TV,3.0833333,12,6,Multilaser Mobile,1.4.9,28 de out. de 2020,"January 15, 2021",Brasil,5.000+,"[{'Comentario': 'Não funciona no Evolve GP349 que é o modelo mais recente de multimídia.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 16, 12, 27, 4)}, {'Comentario': 'Eu presiso de um controle para convesor Multilaser e nao funcionou', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 7, 16, 20, 3)}, {'Comentario': 'Lixo', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 6, 7, 17, 45)}, {'Comentario': 'Bom', 'Nota': 5, 'Data': datetime.datetime(2021, 7, 18, 23, 7, 33)}, {'Comentario': 'Otimo aplicatevo', 'Nota': 5, 'Data': datetime.datetime(2021, 7, 14, 19, 2, 9)}, {'Comentario': 'Muito bom app', 'Nota': 5, 'Data': datetime.datetime(2021, 6, 12, 16, 34, 25)}]"
Drones ML,2.71,117,77,Zheng Xiang,1.1.1,10 de dez. de 2018,"June 10, 2021",China,10.000+,"[{'Comentario': 'Toda vez que aperto a tecla controles o App minimiza a tela0', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 25, 13, 30, 55)}, {'Comentario': 'App nem se quer conecta com o drone, e pelo que vi não há suporte pra corrigir essa falha.', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 24, 10, 36)}, {'Comentario': 'Adorei a nova atualização agora meu drone fenix gps vai ate 400 a 300 metros adorei o drone e o aplicativo so a camera do drone que da umas travadas mais adorei', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 21, 12, 12, 53)}, {'Comentario': 'Simplesmente o software não funciona ,comprei já faz 8 meses o drone fênix es204 com GPS e o aplicativo só fica carregando ,fora que o controle veio com problema e tive que mandar pra assistência sem nem usar e agora que voltou não funciona esse software que é o único que tem pra ele, foi 1300,00 fora nesse drone que tá inútil', 'Nota': 1, 'Data': datetime.datetime(2021, 7, 25, 15, 58, 48)}, {'Comentario': 'N funciona', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 3, 2, 0, 23)}, {'Comentario': 'Cadê aplicativo do Eagle?', 'Nota': 1, 'Data': datetime.datetime(2021, 5, 29, 19, 44, 40)}, {'Comentario': 'Muito bom esse epp', 'Nota': 5, 'Data': datetime.datetime(2021, 5, 28, 11, 25, 15)}, {'Comentario': 'Funcionando perfeitamente', 'Nota': 4, 'Data': datetime.datetime(2021, 3, 12, 21, 40, 26)}, {'Comentario': 'App nao se concta mais com a rede fica pedindo para mudar nao vai mais oque faço?????', 'Nota': 1, 'Data': datetime.datetime(2021, 3, 6, 13, 50, 47)}, {'Comentario': 'O último vôo o drone não obedeceu o comando home (retornar ao lugar de origem) e ao invés de pousar, voltar ao lugar de origem, foi em direção oposta e foi perdido. Estou esperando uma explicação técnica dos responsáveis.', 'Nota': 2, 'Data': datetime.datetime(2021, 3, 3, 17, 9)}]"
FitCloud Pro,3.4135945,8645,5374,htang,1.3.5,23 de jan. de 2019,"September 26, 2021",China,1.000.000+,"[{'Comentario': 'Está faltando a opção treino de força ou musculação....', 'Nota': 4, 'Data': datetime.datetime(2021, 10, 22, 10, 12, 35)}, {'Comentario': 'Comprei o w66 e no app não aparece configuração de display ou watch faces para trocar, o que eu faço?', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 21, 17, 47, 45)}, {'Comentario': 'Cadê atualização que não tem a anos? Cadê Warfaces?', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 20, 22, 5)}, {'Comentario': 'Ótimo', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 19, 22, 53, 22)}, {'Comentario': 'Tem que melhorar e muito.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 19, 9, 53, 25)}, {'Comentario': 'Três estrelas pois o produto não eh péssimo, mas longe de ser ótimo, app muito pouco atualizado, principalmente em watchesfaces. A reclamação eh geral, mas pelo jeito os desenvolvedores não estão nem aí, só não esqueçam, tudo o que eh ruim, eh facilmente substituído.', 'Nota': 3, 'Data': datetime.datetime(2021, 10, 18, 23, 39, 55)}, {'Comentario': 'Gostaria que tivesse a opção de musculação nas atividades físicas...', 'Nota': 3, 'Data': datetime.datetime(2021, 10, 18, 15, 58, 55)}, {'Comentario': 'WatchFaces limitadas, ultrapassadas e com poucas informações. E muito feias. A fila anda. O mundo progride. Vocês estão parados. Fraquissimo. (Muito ruim)', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 12, 16, 15, 27)}, {'Comentario': 'Precisa atualizar App... Depois da atualizacao do Android fica caindo conexão direto e demora pra voltar... Relógio tá reiniciando configuração de fabrica sozinho', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 11, 11, 25, 29)}, {'Comentario': 'A nova watch face do séries 7 não está funcionando corretamente não tem os ponteiros', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 6, 15, 16, 59)}]"
FitDays,4.435466,8873,5851,ICOMON,1.8.9,29 de set. de 2018,"October 22, 2021",China,1.000.000+,"[{'Comentario': 'Excelente!', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 16, 14, 22, 20)}, {'Comentario': 'Parece legal mas só consigo medir o último usuário cadastrado. Não consigo alternar usuários 😫😫😫', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 15, 19, 54, 40)}, {'Comentario': 'Liga-se muito bem por bluetooth com a balança.', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 12, 20, 55, 43)}, {'Comentario': 'Melhor APP tem que ter para usar para todas balanças via wifi de todas marcas e modelos sempre', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 2, 10, 59, 47)}, {'Comentario': 'Ótimo adorei exelente aplicativo', 'Nota': 5, 'Data': datetime.datetime(2021, 9, 22, 14, 6, 19)}, {'Comentario': 'O app não consegue manter a unidade em kg e somente em libras. Isso não estava acontecendo. Você muda no app para kg e ele volta para libras.', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 22, 10, 10, 20)}, {'Comentario': 'Vi pessoas reclamando que não está dando o IMC e demais medições. Certifique que o cabo esteja plutão até o final em ambas extremidades.... estava com mesmo problema e foi fazer isso que resolveu.', 'Nota': 5, 'Data': datetime.datetime(2021, 9, 22, 6, 29, 8)}, {'Comentario': 'Não estou conseguindo dar continuidade na medição do mesmo usuário cadastrado! Não dá para acompanhar a evolução de cada usuário! O que fazer? Balanca: relaxmed RM BD0263A', 'Nota': 3, 'Data': datetime.datetime(2021, 9, 16, 13, 34, 33)}, {'Comentario': 'Não compartilha arquivo formato incompatível..... versão 1.72 funcionava normal', 'Nota': 3, 'Data': datetime.datetime(2021, 9, 15, 14, 36, 30)}, {'Comentario': 'Não consigo ver a parte completa, no caso os dados de gordura corporal.', 'Nota': 3, 'Data': datetime.datetime(2021, 9, 14, 18, 43, 42)}]"
GPS Bike,1.41,131,120,chenkun,5.1.6,18 de set. de 2018,"September 9, 2021",China,5.000+,"[{'Comentario': 'Novamente não está conectando', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 21, 23, 28, 6)}, {'Comentario': 'NAO CONECTA NEM REZANDO', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 29, 13, 2, 20)}, {'Comentario': 'Muito Ruim 👎', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 24, 15, 45, 7)}, {'Comentario': 'Incluíram a opção de excluir a atividade automática no dispositivo... Mas ninguém testou pelo visto, pq ele primeiro excluí a atividade para depois tentar sincronizar 🤦🏻\u200d♂️', 'Nota': 3, 'Data': datetime.datetime(2021, 8, 10, 22, 34, 24)}, {'Comentario': 'Esse aplicativo está muito ruim de se conectar com o átrio, se tenta por diversas vezes e nada. Procurem melhorar isso, poxa isso é um descaso, se fala tanto que esse app não está funcionando e vocês não procuram melhor isso!!! 👎👎👎👎👎👎 👎', 'Nota': 1, 'Data': datetime.datetime(2021, 8, 4, 9, 33, 10)}, {'Comentario': 'Esse app é uma carroça, não funciona! Deveria ser retirado da play story, chega a ser ridículo comprar um aparelho caro e não poder usá-lo da forma que a gente deseja por causa de um app que não funciona.', 'Nota': 1, 'Data': datetime.datetime(2021, 7, 2, 17, 55, 25)}, {'Comentario': 'Normalizou !!!', 'Nota': 5, 'Data': datetime.datetime(2021, 6, 17, 19, 45, 43)}, {'Comentario': 'O app continua não reconhecendo dados do equipamento.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 17, 8, 27, 45)}, {'Comentario': 'Não conecta com bt155', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 16, 5, 19, 54)}, {'Comentario': '15/06/21 infelizmente voltei a tirar estrelas pois continua não reconhecendo dados do gps átrio titanium bl155 mesmo após o sincronismo. 05/06/21 nesta data já sincroniza com o átrio titanium, porém não reconheceu as atividades que eu havia realizado; vou mudando as estrelas conforme o APP vai melhorando. Antes uma estrela agora passei pra três estrelas. Após esta data 25/05/21 e ser atualizado não mais sincronizava com o atrio titanium, antes era uma estrela.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 15, 10, 16, 52)}]"
